datetime,Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
16/12/2006 19:24:00,16/12/2006,19:24:00,3.262,0.052,232.64,14,0,0,17.0
16/12/2006 19:30:00,16/12/2006,19:30:00,3.408,0.162,233.94,14.4,0,2,16.0
16/12/2006 19:36:00,16/12/2006,19:36:00,3.276,0,231.97,14,0,1,17.0
16/12/2006 19:42:00,16/12/2006,19:42:00,3.392,0.156,232.84,14.4,0,1,17.0
16/12/2006 19:48:00,16/12/2006,19:48:00,3.38,0.156,232.81,14.4,0,1,17.0
16/12/2006 19:54:00,16/12/2006,19:54:00,3.214,0.078,232.64,13.8,0,0,17.0
16/12/2006 20:00:00,16/12/2006,20:00:00,3.206,0.078,232.43,13.8,0,0,16.0
16/12/2006 20:06:00,16/12/2006,20:06:00,3.282,0,232.52,14,0,0,17.0
16/12/2006 20:12:00,16/12/2006,20:12:00,3.4,0.14,233.62,14.4,0,0,17.0
16/12/2006 20:18:00,16/12/2006,20:18:00,3.312,0,233,14.2,0,0,16.0
16/12/2006 20:24:00,16/12/2006,20:24:00,3.286,0,232.31,14,0,0,17.0
16/12/2006 20:30:00,16/12/2006,20:30:00,3.262,0.076,234.54,13.8,0,0,17.0
16/12/2006 20:36:00,16/12/2006,20:36:00,3.206,0.078,232.64,13.6,0,0,17.0
16/12/2006 20:42:00,16/12/2006,20:42:00,3.376,0.05,234.63,14.4,0,0,17.0
16/12/2006 20:48:00,16/12/2006,20:48:00,3.44,0.148,235.13,14.6,0,0,17.0
16/12/2006 20:54:00,16/12/2006,20:54:00,3.456,0.15,236.05,14.6,0,0,17.0
16/12/2006 21:00:00,16/12/2006,21:00:00,3.314,0.072,236.76,14,0,0,17.0
16/12/2006 21:06:00,16/12/2006,21:06:00,3.33,0.072,237.36,14,0,0,17.0
16/12/2006 21:12:00,16/12/2006,21:12:00,3.044,0.072,236.23,13.2,0,0,17.0
16/12/2006 21:18:00,16/12/2006,21:18:00,1.876,0.074,238.63,8.6,0,0,18.0
16/12/2006 21:24:00,16/12/2006,21:24:00,3.41,0.054,236.91,14.4,0,0,17.0
16/12/2006 21:30:00,16/12/2006,21:30:00,3.226,0,237.2,13.8,0,0,18.0
16/12/2006 21:36:00,16/12/2006,21:36:00,3.212,0,237.27,13.6,0,0,17.0
16/12/2006 21:42:00,16/12/2006,21:42:00,3.392,0,236.58,14.2,0,1,17.0
16/12/2006 21:48:00,16/12/2006,21:48:00,3.484,0.17,235.98,14.6,0,2,17.0
16/12/2006 21:54:00,16/12/2006,21:54:00,3.474,0.168,236.28,14.6,0,1,17.0
16/12/2006 22:00:00,16/12/2006,22:00:00,3.464,0.17,236.03,14.6,0,1,17.0
16/12/2006 22:06:00,16/12/2006,22:06:00,3.112,0,236.08,13.4,0,1,17.0
16/12/2006 22:12:00,16/12/2006,22:12:00,2.18,0,238.02,10,0,0,17.0
16/12/2006 22:18:00,16/12/2006,22:18:00,1.606,0,238.76,7.8,0,0,0.0
16/12/2006 22:24:00,16/12/2006,22:24:00,2.412,0.066,238.46,10,0,0,0.0
16/12/2006 22:30:00,16/12/2006,22:30:00,2.388,0.07,239.48,10,0,0,0.0
16/12/2006 22:36:00,16/12/2006,22:36:00,0.384,0,240.58,2.4,0,0,0.0
16/12/2006 22:42:00,16/12/2006,22:42:00,1.584,0.05,240.89,7.8,0,0,0.0
16/12/2006 22:48:00,16/12/2006,22:48:00,2.342,0.06,239.89,9.8,0,0,0.0
16/12/2006 22:54:00,16/12/2006,22:54:00,2.468,0.162,237.47,10.4,0,0,0.0
16/12/2006 23:00:00,16/12/2006,23:00:00,2.41,0.068,238.9,10,0,0,0.0
16/12/2006 23:06:00,16/12/2006,23:06:00,2.418,0.07,239.52,10,0,0,0.0
16/12/2006 23:12:00,16/12/2006,23:12:00,2.334,0.06,239.99,9.6,0,0,0.0
16/12/2006 23:18:00,16/12/2006,23:18:00,2.346,0.06,240.55,9.6,0,0,0.0
16/12/2006 23:24:00,16/12/2006,23:24:00,1.198,0,241.68,6.6,0,0,0.0
16/12/2006 23:30:00,16/12/2006,23:30:00,2.502,0.136,240.24,10.4,0,0,0.0
16/12/2006 23:36:00,16/12/2006,23:36:00,2.492,0.172,239.49,10.4,0,0,0.0
16/12/2006 23:42:00,16/12/2006,23:42:00,2.37,0.058,241.48,9.8,0,0,0.0
16/12/2006 23:48:00,16/12/2006,23:48:00,2.526,0.058,241.79,10.8,0,0,0.0
16/12/2006 23:54:00,16/12/2006,23:54:00,0.596,0,240.88,2.4,0,0,0.0
17/12/2006 0:00:00,17/12/2006,0:00:00,1.044,0.152,242.73,4.4,0,2,0.0
17/12/2006 0:06:00,17/12/2006,0:06:00,2.858,0.202,241.14,11.8,0,1,0.0
17/12/2006 0:12:00,17/12/2006,0:12:00,2.56,0.286,238.71,10.8,0,2,0.0
17/12/2006 0:18:00,17/12/2006,0:18:00,2.436,0.12,238.51,10.2,0,1,0.0
17/12/2006 0:24:00,17/12/2006,0:24:00,2.332,0.06,239.11,9.6,0,0,0.0
17/12/2006 0:30:00,17/12/2006,0:30:00,0.286,0,244.03,1.2,0,0,0.0
17/12/2006 0:36:00,17/12/2006,0:36:00,0.388,0.104,242.58,1.6,0,0,0.0
17/12/2006 0:42:00,17/12/2006,0:42:00,0.382,0.108,243.65,1.6,0,0,0.0
17/12/2006 0:48:00,17/12/2006,0:48:00,0.93,0,242.94,5.6,0,0,0.0
17/12/2006 0:54:00,17/12/2006,0:54:00,2.122,0.048,240.91,9.2,0,0,0.0
17/12/2006 1:00:00,17/12/2006,1:00:00,1.008,0,242.35,5.4,0,0,0.0
17/12/2006 1:06:00,17/12/2006,1:06:00,2.362,0.096,241.35,10.4,0,28,0.0
17/12/2006 1:12:00,17/12/2006,1:12:00,3.426,0.256,240.31,14.4,0,37,0.0
17/12/2006 1:18:00,17/12/2006,1:18:00,3.84,0.164,238.27,16.6,0,35,0.0
17/12/2006 1:24:00,17/12/2006,1:24:00,3.478,0,239.84,15,0,36,0.0
17/12/2006 1:30:00,17/12/2006,1:30:00,3.652,0,240.11,15.2,0,22,0.0
17/12/2006 1:36:00,17/12/2006,1:36:00,3.746,0.106,240.36,15.6,0,25,0.0
17/12/2006 1:42:00,17/12/2006,1:42:00,3.8,0,241.78,15.8,0,26,0.0
17/12/2006 1:48:00,17/12/2006,1:48:00,3.216,0.27,242.14,15,0,31,0.0
17/12/2006 1:54:00,17/12/2006,1:54:00,0.774,0.294,242.43,4.2,0,5,0.0
17/12/2006 2:00:00,17/12/2006,2:00:00,1.334,0.148,242.14,7,0,5,0.0
17/12/2006 2:06:00,17/12/2006,2:06:00,0.288,0.118,247.65,1.2,0,1,0.0
17/12/2006 2:12:00,17/12/2006,2:12:00,0.306,0.128,248.48,1.4,0,1,0.0
17/12/2006 2:18:00,17/12/2006,2:18:00,2.442,0.072,245.61,10,0,1,0.0
17/12/2006 2:24:00,17/12/2006,2:24:00,2.47,0.1,244.97,10,0,1,0.0
17/12/2006 2:30:00,17/12/2006,2:30:00,2.444,0.098,243.93,10,0,0,0.0
17/12/2006 2:36:00,17/12/2006,2:36:00,2.14,0,246.52,9,0,0,0.0
17/12/2006 2:42:00,17/12/2006,2:42:00,0.218,0,249.37,1,0,0,0.0
17/12/2006 2:48:00,17/12/2006,2:48:00,1.632,0,244.51,7.8,0,0,0.0
17/12/2006 2:54:00,17/12/2006,2:54:00,2.39,0,244.51,9.8,0,0,0.0
17/12/2006 3:00:00,17/12/2006,3:00:00,2.542,0.214,244.06,10.4,0,0,0.0
17/12/2006 3:06:00,17/12/2006,3:06:00,2.002,0.214,245.79,9,0,4,0.0
17/12/2006 3:12:00,17/12/2006,3:12:00,0.302,0,246.19,2,0,0,0.0
17/12/2006 3:18:00,17/12/2006,3:18:00,0.224,0,245.54,1,0,0,0.0
17/12/2006 3:24:00,17/12/2006,3:24:00,0.222,0,245.29,1,0,0,0.0
17/12/2006 3:30:00,17/12/2006,3:30:00,0.342,0.12,244.81,1.6,0,0,0.0
17/12/2006 3:36:00,17/12/2006,3:36:00,1.154,0.116,245.5,6.4,0,0,0.0
17/12/2006 3:42:00,17/12/2006,3:42:00,2.446,0.138,242.72,10,0,0,0.0
17/12/2006 3:48:00,17/12/2006,3:48:00,2.392,0.058,243.41,9.8,0,0,0.0
17/12/2006 3:54:00,17/12/2006,3:54:00,2.426,0.082,244.42,9.8,0,2,0.0
17/12/2006 4:00:00,17/12/2006,4:00:00,2.402,0.076,243.18,9.8,0,1,0.0
17/12/2006 4:06:00,17/12/2006,4:06:00,0.978,0.248,245.15,5.6,0,2,0.0
17/12/2006 4:12:00,17/12/2006,4:12:00,0.402,0.256,245.69,2,0,2,0.0
17/12/2006 4:18:00,17/12/2006,4:18:00,0.908,0.078,245.71,5.2,0,1,0.0
17/12/2006 4:24:00,17/12/2006,4:24:00,0.516,0,245.13,3.6,0,1,0.0
17/12/2006 4:30:00,17/12/2006,4:30:00,0.756,0.092,245.69,3.8,0,0,5.0
17/12/2006 4:36:00,17/12/2006,4:36:00,1.336,0,245.94,5.4,0,0,18.0
17/12/2006 4:42:00,17/12/2006,4:42:00,1.414,0.106,244.55,5.8,0,0,18.0
17/12/2006 4:48:00,17/12/2006,4:48:00,1.994,0.1,244.15,9,0,0,18.0
17/12/2006 4:54:00,17/12/2006,4:54:00,1.326,0,246.55,5.4,0,0,19.0
17/12/2006 5:00:00,17/12/2006,5:00:00,2.294,0,243.14,10.4,0,0,19.0
17/12/2006 5:06:00,17/12/2006,5:06:00,2.02,0,243.62,9.2,0,0,18.0
17/12/2006 5:12:00,17/12/2006,5:12:00,1.834,0.07,242.93,8.4,0,0,18.0
17/12/2006 5:18:00,17/12/2006,5:18:00,1.926,0.136,244.33,8.8,0,0,0.0
17/12/2006 5:24:00,17/12/2006,5:24:00,0.716,0.128,246.23,4.4,0,0,0.0
17/12/2006 5:30:00,17/12/2006,5:30:00,1.65,0,243.03,7.8,0,0,0.0
17/12/2006 5:36:00,17/12/2006,5:36:00,2.33,0,242.56,9.6,0,0,0.0
17/12/2006 5:42:00,17/12/2006,5:42:00,2.312,0.048,242.51,9.4,0,0,0.0
17/12/2006 5:48:00,17/12/2006,5:48:00,1.852,0,243.74,8.4,0,0,0.0
17/12/2006 5:54:00,17/12/2006,5:54:00,2.164,0.098,244.63,9.2,0,0,0.0
17/12/2006 6:00:00,17/12/2006,6:00:00,2.076,0.206,244.36,9.2,0,0,0.0
17/12/2006 6:06:00,17/12/2006,6:06:00,2.44,0.11,243.7,10,0,2,0.0
17/12/2006 6:12:00,17/12/2006,6:12:00,2.406,0.078,242.35,9.8,0,2,0.0
17/12/2006 6:18:00,17/12/2006,6:18:00,2.432,0.084,242.41,10,0,2,0.0
17/12/2006 6:24:00,17/12/2006,6:24:00,2.582,0.092,244.02,10.6,0,2,0.0
17/12/2006 6:30:00,17/12/2006,6:30:00,3.328,0.094,241.89,13.6,0,0,0.0
17/12/2006 6:36:00,17/12/2006,6:36:00,0.82,0.126,245.84,3.4,0,0,0.0
17/12/2006 6:42:00,17/12/2006,6:42:00,0.682,0.14,244.14,2.8,0,0,0.0
17/12/2006 6:48:00,17/12/2006,6:48:00,0.638,0.084,244.26,2.6,0,0,0.0
17/12/2006 6:54:00,17/12/2006,6:54:00,0.422,0,244.45,1.8,0,0,0.0
17/12/2006 7:00:00,17/12/2006,7:00:00,0.222,0,244.67,1,0,0,0.0
17/12/2006 7:06:00,17/12/2006,7:06:00,0.322,0.104,242.08,1.4,0,0,0.0
17/12/2006 7:12:00,17/12/2006,7:12:00,0.326,0.112,242.55,1.4,0,0,0.0
17/12/2006 7:18:00,17/12/2006,7:18:00,2.324,0,239.78,9.6,0,0,0.0
17/12/2006 7:24:00,17/12/2006,7:24:00,2.3,0.048,241.01,9.4,0,0,0.0
17/12/2006 7:30:00,17/12/2006,7:30:00,2.336,0.048,238.93,9.6,0,0,0.0
17/12/2006 7:36:00,17/12/2006,7:36:00,2.322,0.046,242.18,9.6,0,0,0.0
17/12/2006 7:42:00,17/12/2006,7:42:00,0.368,0.114,244.31,2,0,0,0.0
17/12/2006 7:48:00,17/12/2006,7:48:00,2.388,0.082,241.56,9.8,0,0,0.0
17/12/2006 7:54:00,17/12/2006,7:54:00,2.376,0,242.85,9.8,0,0,0.0
17/12/2006 8:00:00,17/12/2006,8:00:00,2.28,0.056,240.9,9.4,0,0,0.0
17/12/2006 8:06:00,17/12/2006,8:06:00,2.288,0.052,241.37,9.4,0,0,0.0
17/12/2006 8:12:00,17/12/2006,8:12:00,1.78,0.06,241.11,8.4,0,0,0.0
17/12/2006 8:18:00,17/12/2006,8:18:00,2.512,0.256,239.37,10.4,0,2,0.0
17/12/2006 8:24:00,17/12/2006,8:24:00,2.502,0.214,242.36,10.2,0,2,0.0
17/12/2006 8:30:00,17/12/2006,8:30:00,1.876,0.196,241.39,8.6,0,1,0.0
17/12/2006 8:36:00,17/12/2006,8:36:00,2.36,0.07,240.34,9.8,0,1,0.0
17/12/2006 8:42:00,17/12/2006,8:42:00,2.358,0,242.68,9.6,0,1,0.0
17/12/2006 8:48:00,17/12/2006,8:48:00,1.622,0.046,241.27,7.8,0,0,0.0
17/12/2006 8:54:00,17/12/2006,8:54:00,2.792,0.17,238.51,11.6,0,0,0.0
17/12/2006 9:00:00,17/12/2006,9:00:00,2.94,0.31,239.09,12.2,0,1,0.0
17/12/2006 9:06:00,17/12/2006,9:06:00,6.05,0,235.22,26.2,0,37,0.0
17/12/2006 9:12:00,17/12/2006,9:12:00,0.724,0.054,240.88,4.6,0,2,0.0
17/12/2006 9:18:00,17/12/2006,9:18:00,2.424,0.068,238.48,10,0,2,0.0
17/12/2006 9:24:00,17/12/2006,9:24:00,2.402,0.06,239.23,10,0,1,0.0
17/12/2006 9:30:00,17/12/2006,9:30:00,2.722,0.136,237.51,11.4,0,5,0.0
17/12/2006 9:36:00,17/12/2006,9:36:00,0.37,0.206,240.85,1.8,0,0,0.0
17/12/2006 9:42:00,17/12/2006,9:42:00,2.444,0.13,238.64,10.2,0,0,0.0
17/12/2006 9:48:00,17/12/2006,9:48:00,2.32,0.052,239.14,9.6,0,0,0.0
17/12/2006 9:54:00,17/12/2006,9:54:00,0.268,0,242.48,1.2,0,0,0.0
17/12/2006 10:00:00,17/12/2006,10:00:00,2.292,0.054,238.03,9.6,0,0,0.0
17/12/2006 10:06:00,17/12/2006,10:06:00,3.56,0.058,235.44,15,0,0,18.0
17/12/2006 10:12:00,17/12/2006,10:12:00,3.388,0.06,235.99,14.2,0,0,17.0
17/12/2006 10:18:00,17/12/2006,10:18:00,1.37,0.118,237.93,5.8,0,0,18.0
17/12/2006 10:24:00,17/12/2006,10:24:00,3.714,0.296,235.15,15.8,2,35,17.0
17/12/2006 10:30:00,17/12/2006,10:30:00,3.678,0.204,236.01,15.6,1,35,17.0
17/12/2006 10:36:00,17/12/2006,10:36:00,5.718,0.244,232.07,24.6,37,35,16.0
17/12/2006 10:42:00,17/12/2006,10:42:00,5.842,0.38,232.47,25,36,35,16.0
17/12/2006 10:48:00,17/12/2006,10:48:00,5.026,0.382,232.73,22,25,35,17.0
17/12/2006 10:54:00,17/12/2006,10:54:00,3.002,0.224,237.17,12.8,1,26,18.0
17/12/2006 11:00:00,17/12/2006,11:00:00,3.65,0.22,234.55,15.6,1,40,17.0
17/12/2006 11:06:00,17/12/2006,11:06:00,3.108,0.112,235.01,13.4,1,28,17.0
17/12/2006 11:12:00,17/12/2006,11:12:00,1.572,0.064,236.83,6.6,1,4,17.0
17/12/2006 11:18:00,17/12/2006,11:18:00,1.658,0.164,236.8,7,2,3,17.0
17/12/2006 11:24:00,17/12/2006,11:24:00,3.834,0.254,235.27,16.2,37,1,17.0
17/12/2006 11:30:00,17/12/2006,11:30:00,3.844,0.208,234.82,16.4,37,1,17.0
17/12/2006 11:36:00,17/12/2006,11:36:00,2.146,0.192,236.81,9.8,11,0,17.0
17/12/2006 11:42:00,17/12/2006,11:42:00,1.964,0.222,239.49,8.2,0,1,17.0
17/12/2006 11:48:00,17/12/2006,11:48:00,1.734,0.236,239.63,7.2,0,1,17.0
17/12/2006 11:54:00,17/12/2006,11:54:00,2.032,0.342,239.1,8.6,0,0,17.0
17/12/2006 12:00:00,17/12/2006,12:00:00,1.962,0.252,239.73,8.2,0,0,18.0
17/12/2006 12:06:00,17/12/2006,12:06:00,2.01,0.35,236.29,8.6,0,0,17.0
17/12/2006 12:12:00,17/12/2006,12:12:00,1.54,0.126,238.96,6.4,0,0,17.0
17/12/2006 12:18:00,17/12/2006,12:18:00,1.74,0.11,238.48,7.2,0,0,18.0
17/12/2006 12:24:00,17/12/2006,12:24:00,3.36,0.528,237.53,14.6,0,0,17.0
17/12/2006 12:30:00,17/12/2006,12:30:00,2.014,0.346,237.63,8.6,0,0,17.0
17/12/2006 12:36:00,17/12/2006,12:36:00,1.83,0.304,237.22,7.8,0,0,17.0
17/12/2006 12:42:00,17/12/2006,12:42:00,1.71,0.364,236.75,7.4,0,1,17.0
17/12/2006 12:48:00,17/12/2006,12:48:00,1.716,0.364,236.92,7.4,0,1,18.0
17/12/2006 12:54:00,17/12/2006,12:54:00,1.736,0.372,238.67,7.4,0,1,17.0
17/12/2006 13:00:00,17/12/2006,13:00:00,1.754,0.392,237.65,7.6,0,1,18.0
17/12/2006 13:06:00,17/12/2006,13:06:00,1.736,0.354,238.56,7.4,0,0,17.0
17/12/2006 13:12:00,17/12/2006,13:12:00,1.498,0.198,237.91,6.2,0,0,17.0
17/12/2006 13:18:00,17/12/2006,13:18:00,1.434,0.1,238.38,6,0,0,18.0
17/12/2006 13:24:00,17/12/2006,13:24:00,1.45,0.108,240.69,6,0,0,17.0
17/12/2006 13:30:00,17/12/2006,13:30:00,1.44,0.108,240.19,6,0,0,18.0
17/12/2006 13:36:00,17/12/2006,13:36:00,1.734,0.102,239.49,7.2,0,0,17.0
17/12/2006 13:42:00,17/12/2006,13:42:00,1.824,0.21,240.8,7.6,0,0,17.0
17/12/2006 13:48:00,17/12/2006,13:48:00,1.812,0.208,240.41,7.6,0,0,17.0
17/12/2006 13:54:00,17/12/2006,13:54:00,2.152,0.106,241.42,9.2,0,0,18.0
17/12/2006 14:00:00,17/12/2006,14:00:00,1.744,0.104,240.38,7.2,0,0,18.0
17/12/2006 14:06:00,17/12/2006,14:06:00,2.4,0.134,242.58,10.2,0,0,18.0
17/12/2006 14:12:00,17/12/2006,14:12:00,1.802,0.122,244.71,7.4,0,0,19.0
17/12/2006 14:18:00,17/12/2006,14:18:00,2.106,0.396,244.39,8.6,0,0,18.0
17/12/2006 14:24:00,17/12/2006,14:24:00,2.118,0.39,246.04,8.6,0,0,18.0
17/12/2006 14:30:00,17/12/2006,14:30:00,2.154,0.268,245.51,8.8,0,0,18.0
17/12/2006 14:36:00,17/12/2006,14:36:00,2.122,0.252,243.18,8.8,0,0,19.0
17/12/2006 14:42:00,17/12/2006,14:42:00,2.11,0.264,242.48,8.6,0,0,18.0
17/12/2006 14:48:00,17/12/2006,14:48:00,2.046,0.242,243.91,8.4,0,1,18.0
17/12/2006 14:54:00,17/12/2006,14:54:00,2.238,0.324,244.46,9.2,0,2,18.0
17/12/2006 15:00:00,17/12/2006,15:00:00,2.11,0.202,243.11,8.6,0,1,18.0
17/12/2006 15:06:00,17/12/2006,15:06:00,1.996,0.07,241.88,8.2,0,2,18.0
17/12/2006 15:12:00,17/12/2006,15:12:00,2.06,0.08,242.68,8.4,0,0,18.0
17/12/2006 15:18:00,17/12/2006,15:18:00,2.18,0.078,241.42,9,0,0,18.0
17/12/2006 15:24:00,17/12/2006,15:24:00,3.006,0.106,241.29,12.4,0,0,18.0
17/12/2006 15:30:00,17/12/2006,15:30:00,3.054,0.1,240.93,13,1,0,18.0
17/12/2006 15:36:00,17/12/2006,15:36:00,2.858,0.198,239.38,11.8,1,0,18.0
17/12/2006 15:42:00,17/12/2006,15:42:00,4.956,0.05,237.67,20.8,38,0,17.0
17/12/2006 15:48:00,17/12/2006,15:48:00,4.794,0,238.88,20.2,33,0,17.0
17/12/2006 15:54:00,17/12/2006,15:54:00,2.758,0,240.87,11.4,1,0,18.0
17/12/2006 16:00:00,17/12/2006,16:00:00,2.818,0.114,239.01,11.8,2,0,17.0
17/12/2006 16:06:00,17/12/2006,16:06:00,2.794,0.112,237.97,11.6,1,0,17.0
17/12/2006 16:12:00,17/12/2006,16:12:00,2.776,0.116,236.79,11.6,2,0,17.0
17/12/2006 16:18:00,17/12/2006,16:18:00,2.792,0.088,238.81,11.6,1,0,18.0
17/12/2006 16:24:00,17/12/2006,16:24:00,4.864,0,235.59,20.6,37,0,17.0
17/12/2006 16:30:00,17/12/2006,16:30:00,4.806,0,234.92,20.4,37,0,16.0
17/12/2006 16:36:00,17/12/2006,16:36:00,2.73,0.1,237.83,11.4,0,0,17.0
17/12/2006 16:42:00,17/12/2006,16:42:00,2.832,0.098,238.25,11.8,0,0,17.0
17/12/2006 16:48:00,17/12/2006,16:48:00,2.768,0.1,234.2,11.8,0,0,16.0
17/12/2006 16:54:00,17/12/2006,16:54:00,3.328,0.1,235.31,14.2,0,0,17.0
17/12/2006 17:00:00,17/12/2006,17:00:00,3.388,0.244,233.82,14.4,0,1,17.0
17/12/2006 17:06:00,17/12/2006,17:06:00,3.416,0.136,230.94,14.8,0,1,17.0
17/12/2006 17:12:00,17/12/2006,17:12:00,3.728,0.276,235.76,15.8,0,1,17.0
17/12/2006 17:18:00,17/12/2006,17:18:00,3.796,0.288,234.46,16.2,0,2,17.0
17/12/2006 17:24:00,17/12/2006,17:24:00,3.39,0.17,232.65,14.6,0,0,17.0
17/12/2006 17:30:00,17/12/2006,17:30:00,3.002,0.058,232.79,12.8,0,0,16.0
17/12/2006 17:36:00,17/12/2006,17:36:00,3.262,0.158,234.69,13.8,0,0,17.0
17/12/2006 17:42:00,17/12/2006,17:42:00,3.502,0.158,235.51,14.8,0,0,17.0
17/12/2006 17:48:00,17/12/2006,17:48:00,3.296,0.06,235.69,14,0,0,17.0
17/12/2006 17:54:00,17/12/2006,17:54:00,3.418,0.19,236.59,14.4,0,0,18.0
17/12/2006 18:00:00,17/12/2006,18:00:00,3.328,0.168,235.86,14,0,0,17.0
17/12/2006 18:06:00,17/12/2006,18:06:00,3.266,0.106,234.27,13.8,0,0,17.0
17/12/2006 18:12:00,17/12/2006,18:12:00,3.236,0,235.9,13.6,0,0,17.0
17/12/2006 18:18:00,17/12/2006,18:18:00,6.204,0.116,232.7,26.6,0,0,16.0
17/12/2006 18:24:00,17/12/2006,18:24:00,3.612,0.134,235.42,15.2,0,0,17.0
17/12/2006 18:30:00,17/12/2006,18:30:00,3.624,0.162,234.53,15.4,0,0,17.0
17/12/2006 18:36:00,17/12/2006,18:36:00,3.372,0.19,235.72,14.2,0,0,17.0
17/12/2006 18:42:00,17/12/2006,18:42:00,3.618,0.176,234.12,15.4,0,0,17.0
17/12/2006 18:48:00,17/12/2006,18:48:00,3.754,0.052,233.49,16,0,0,16.0
17/12/2006 18:54:00,17/12/2006,18:54:00,3.974,0.232,230.35,17.2,0,0,16.0
17/12/2006 19:00:00,17/12/2006,19:00:00,4.078,0.3,230.78,17.6,0,0,17.0
17/12/2006 19:06:00,17/12/2006,19:06:00,2.922,0.38,234.78,12.6,0,0,17.0
17/12/2006 19:12:00,17/12/2006,19:12:00,3.764,0.562,232.4,16.6,0,2,16.0
17/12/2006 19:18:00,17/12/2006,19:18:00,2.234,0.232,236.35,9.4,0,2,17.0
17/12/2006 19:24:00,17/12/2006,19:24:00,2.154,0.21,235.16,9.2,0,2,17.0
17/12/2006 19:30:00,17/12/2006,19:30:00,2.114,0.202,233.42,9,0,1,17.0
17/12/2006 19:36:00,17/12/2006,19:36:00,3.538,0.258,231.41,15.2,0,0,16.0
17/12/2006 19:42:00,17/12/2006,19:42:00,3.13,0.268,232.88,13.4,0,0,17.0
17/12/2006 19:48:00,17/12/2006,19:48:00,2.96,0.176,232.52,12.8,0,0,16.0
17/12/2006 19:54:00,17/12/2006,19:54:00,3.024,0.166,231.47,13,0,0,16.0
17/12/2006 20:00:00,17/12/2006,20:00:00,2.388,0.166,232.78,10.2,0,0,16.0
17/12/2006 20:06:00,17/12/2006,20:06:00,2.55,0.048,233.02,11,0,0,17.0
17/12/2006 20:12:00,17/12/2006,20:12:00,2.972,0.17,236.43,12.6,0,1,17.0
17/12/2006 20:18:00,17/12/2006,20:18:00,3.39,0.364,234.43,14.6,0,2,17.0
17/12/2006 20:24:00,17/12/2006,20:24:00,3.712,0.396,236.92,15.8,0,1,17.0
17/12/2006 20:30:00,17/12/2006,20:30:00,3.614,0.292,236.16,15.4,0,2,18.0
17/12/2006 20:36:00,17/12/2006,20:36:00,3.538,0.308,238.31,15,0,1,17.0
17/12/2006 20:42:00,17/12/2006,20:42:00,3.628,0.314,239.82,15.2,0,2,18.0
17/12/2006 20:48:00,17/12/2006,20:48:00,3.324,0.31,238.46,14,0,1,18.0
17/12/2006 20:54:00,17/12/2006,20:54:00,3.75,0.3,237.52,15.8,0,1,17.0
17/12/2006 21:00:00,17/12/2006,21:00:00,3.576,0.252,237.8,15.2,0,2,18.0
17/12/2006 21:06:00,17/12/2006,21:06:00,3.086,0.256,239.34,12.8,0,1,17.0
17/12/2006 21:12:00,17/12/2006,21:12:00,3.108,0.296,239.19,13,0,1,18.0
17/12/2006 21:18:00,17/12/2006,21:18:00,3.096,0.286,237.52,13,0,1,17.0
17/12/2006 21:24:00,17/12/2006,21:24:00,3.084,0.292,238.37,13,0,1,17.0
